,brand,product_name,product_propablity,product_detail,RRP,price,rating,product_code,stock_info,product_description
0,ESCODA , WATERCOLOR TRAVEL BRUSH SET , RESERVA , SERIES 1240 ,282.79,199.57,,BE1240,In Stock Online, RESERVA  SERIES 1240  SET OF 6
1,SILVER BRUSH , BLACK VELVET , VOYAGE TRAVEL BRUSH , SERIES 3100ST ,170.75,94.83,100.0,BS3100STS4,In Stock Online, VOYAGE TRAVEL BRUSH  SERIES 3100ST  ROUND 
2,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , SHORT HANDLE ,91.43,55.13,100.0,BSS2573S,In Stock Online, SYNTHETIC BRUSH  SHORT HANDLE  JUMBO BRIGHT SET OF 3
3,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , SHORT HANDLE ,110.15,66.16,,BSS2560S,In Stock Online, SYNTHETIC BRUSH  SHORT HANDLE  STARTER SET OF 6
4,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , LINER ,62.78,38.59,80.0,BSS2406S,In Stock Online, GOLDEN TAKLON BRUSH  LINER  SET OF 6
5,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , SHORT HANDLE ,63.84,38.59,,BSS2540S,In Stock Online, SYNTHETIC BRUSH  SHORT HANDLE  BASIC SET OF 4
6,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , LONG HANDLE ,62.78,38.59,,BSS2504,In Stock Online, SYNTHETIC BRUSH  LONG HANDLE  SET OF 4
7,ESCODA , WATERCOLOR TRAVEL BRUSH SET , ULTIMO , SERIES 1255 ,74.6,52.93,,BETS12553,In Stock Online, ULTIMO  SERIES 1255  SET OF 3
8,ESCODA , WATERCOLOR TRAVEL BRUSH SET , VERSATIL , SERIES 1252 ,81.39,57.34,84.0,BETS12523,In Stock Online, VERSATIL  SERIES 1252  SET OF 3
9,ESCODA , WATERCOLOR TRAVEL BRUSH SET , RESERVA , SERIES 1250 ,129.3,91.52,,BETS12503,In Stock Online, RESERVA  SERIES 1250  SET OF 3
10,STUDIO ESSENTIALS , CHINESE PAINTING , BAMBOO BRUSH PEN , MEDIUM ,3.31,,,BC804,In Stock Online, BAMBOO BRUSH PEN  MEDIUM  BRUSH ON ONE END 
11,JACKSON'S , PURE SQUIRREL MOP BRUSH , SERIES 828 , SET OF 2 ,33.08,,,BJSET007,In Stock Online, SERIES 828  SET OF 2  SIZE 6 AND 10
12,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,24.21,14.55,,BS3008S1/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
13,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,63.44,38.59,,BS3008S1,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
14,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,17.33,10.48,,BS3007S4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
15,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,23.02,13.89,,BS3007S8,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
16,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,20.64,12.46,,BS3007S6,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
17,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,15.41,9.26,100.0,BS3007S1,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
18,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3000S ,29.18,17.53,,BS3000S8,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3000S  ROUND 
19,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3000S ,21.96,13.23,,BS3000S6,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3000S  ROUND 
20,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3000S ,16.01,9.7,100.0,BS3000S4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3000S  ROUND 
21,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,97.58,59.54,,BS3008S11/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
22,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,109.75,66.16,100.0,BS3008S11/2,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
23,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,35.2,21.17,,BS3008S1/2,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
24,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3012S ,22.1,13.34,100.0,BS3012S1/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3012S  DAGGER STRIPER 
25,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3014S ,156.79,94.83,,BS3014S2,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3014S  WIDE WASH BLENDER 
26,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3025S ,96.92,58.44,,BS3025LG,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3025S  JUMBO ROUND WASH 
27,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3009S ,51.54,31.42,,BS3009S3/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3009S  OVAL WASH 
28,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,50.21,30.32,100.0,BS3008S3/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
29,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3009S ,72.11,44.1,,BS3009S1,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3009S  OVAL WASH 
30,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , FAN ,18.64,9.81,,BS40046,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  FAN  SIZE 6
31,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , ANGLE ,18.64,9.81,,BS40061/2,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  ANGLE  SIZE 1/2IN
